person_id,loan_id,cb_id,person_id,person_age,person_income,person_home_ownership,person_emp_length,loan_id,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_id,cb_person_default_on_file,cb_person_cred_hist_length
H4gHoJtN-N10c,zhFY8hpf-ZSPD,kH3LU1Tq-Jgjt,H4gHoJtN-N10c,31,50402,Mortgage,4,zhFY8hpf-ZSPD,Venture,C,3000,13.22,0,0.06,kH3LU1Tq-Jgjt,Y,10
u03tbyFD-kivI,6SlddJLo-ZorK,tZHUg48k-WmbY,u03tbyFD-kivI,21,53000,Mortgage,5,6SlddJLo-ZorK,Venture,C,18000,13.8,0,0.34,tZHUg48k-WmbY,Y,3
kGsgqY0U-QB6x,vGTfoX73-Hvd5,pwMMAkxx-M8BU,kGsgqY0U-QB6x,23,71500,Rent,3,vGTfoX73-Hvd5,Debtconsolidation,D,30000,NULL,1,0.42,pwMMAkxx-M8BU,N,4
o6mELtk2-D6w8,o4P4s9g8-zrLp,a2Yd1SZQ-zF8G,o6mELtk2-D6w8,36,24000,Mortgage,2,o4P4s9g8-zrLp,Debtconsolidation,A,1500,9.63,0,0.06,a2Yd1SZQ-zF8G,N,16
yakFUmEZ-DOB4,vKJ4HhXw-tz5J,gnytRXfa-1YmA,yakFUmEZ-DOB4,25,95004,Mortgage,9,vKJ4HhXw-tz5J,Education,A,18000,7.51,0,0.19,gnytRXfa-1YmA,N,4
Z7IrcAuM-hQ4e,QJKW0pkS-BYQN,0vkNdjj2-gHxl,Z7IrcAuM-hQ4e,30,62000,Rent,14,QJKW0pkS-BYQN,Medical,B,12000,11.71,0,0.19,0vkNdjj2-gHxl,N,9
CblggIQq-7Fp8,5O0Qypun-XtT4,De4YYLZ1-FY1g,CblggIQq-7Fp8,23,80000,Own,7,5O0Qypun-XtT4,Venture,B,25000,9.99,0,0.31,De4YYLZ1-FY1g,N,3
bsjYmP00-XXsO,EXQXXO9g-llgX,Yj0s3Sns-mdCe,bsjYmP00-XXsO,23,65000,Mortgage,7,EXQXXO9g-llgX,Education,A,10500,6.03,0,0.16,Yj0s3Sns-mdCe,N,4
utAh29tr-5SKh,5cuXo8ct-ettp,rQDifpHK-lhmT,utAh29tr-5SKh,25,110004,Mortgage,9,5cuXo8ct-ettp,Homeimprovement,A,15000,7.66,0,0.14,rQDifpHK-lhmT,N,4
HyQps3sR-bRxO,qxDsU9Gv-RruM,y84fsHF6-8UmN,HyQps3sR-bRxO,22,50000,Mortgage,6,qxDsU9Gv-RruM,Personal,A,15000,7.9,0,0.3,y84fsHF6-8UmN,N,3
eeeNsG03-h61e,8iOqDmIF-tLRm,6GYp2kvH-x55n,eeeNsG03-h61e,43,72800,Mortgage,7,8iOqDmIF-tLRm,Homeimprovement,C,20000,12.84,0,0.27,6GYp2kvH-x55n,Y,12
60YJzWEl-jNKh,BUkyfawG-eg3o,NFMzgZ5u-Weh4,60YJzWEl-jNKh,23,30000,Rent,7,BUkyfawG-eg3o,Education,B,3600,9.7,0,0.12,NFMzgZ5u-Weh4,N,3
JlUHLUZA-rfPy,woPqremP-ROOh,kXb3MoC4-CC80,JlUHLUZA-rfPy,24,64000,Mortgage,8,woPqremP-ROOh,Education,A,5000,7.88,1,0.08,kXb3MoC4-CC80,N,4
r2zRTMkC-8Tq7,72fr2wCD-HUEr,oEbc4JGm-aElH,r2zRTMkC-8Tq7,30,50000,Mortgage,14,72fr2wCD-HUEr,Debtconsolidation,A,1875,8,0,0.04,oEbc4JGm-aElH,N,9
jihtnqIM-l3Wm,ZXvEWTRv-JQXI,piclsXa6-nFdd,jihtnqIM-l3Wm,30,60000,Rent,8,ZXvEWTRv-JQXI,Medical,A,5000,NULL,0,0.08,piclsXa6-nFdd,N,8
81S7xySz-HsQY,uYot9IpR-k8t8,v7sD14be-H2xC,81S7xySz-HsQY,47,168000,Mortgage,13,uYot9IpR-k8t8,Education,A,8775,8.49,0,0.05,v7sD14be-H2xC,N,12
zoN4iJtm-hXPm,agOFgpmv-wzM3,lK21aS2J-YoaY,zoN4iJtm-hXPm,27,146000,Mortgage,5,agOFgpmv-wzM3,Medical,A,2500,8.49,0,0.02,lK21aS2J-YoaY,N,5
iqxppEv8-GE4a,FoarKzwh-roRw,DkWEsf6m-04Yk,iqxppEv8-GE4a,24,39996,Mortgage,4,FoarKzwh-roRw,Education,C,5000,14.82,0,0.13,DkWEsf6m-04Yk,Y,3
JErNX8Ig-DWQK,EBC4fYHR-YYYt,EYIbBkQM-3iOn,JErNX8Ig-DWQK,22,90000,Rent,7,EBC4fYHR-YYYt,Venture,A,12000,5.79,0,0.13,EYIbBkQM-3iOn,N,2
wXiUBziv-iEnX,3LQRKPrY-enlh,Q89FNQId-Bzsg,wXiUBziv-iEnX,23,90096,Mortgage,0,3LQRKPrY-enlh,Education,C,10150,11.97,0,0.11,Q89FNQId-Bzsg,N,3
0mg5QCvx-Xuza,Q5ax8QZv-4qmA,GmeWoilv-AyW5,0mg5QCvx-Xuza,21,27996,Mortgage,5,Q5ax8QZv-4qmA,Education,A,10000,9.63,0,0.36,GmeWoilv-AyW5,N,4
zMqqJNJb-32Dk,pLeboaWw-b4Xf,gx1Lqjxf-f2U6,zMqqJNJb-32Dk,21,NULL,Rent,1,pLeboaWw-b4Xf,,A,25000,16.07,0,0.19,gx1Lqjxf-f2U6,Y,3
93KZ7pAN-3dld,wpE8XGop-9LOc,HgFe0a5S-vfed,93KZ7pAN-3dld,21,59000,Rent,1,wpE8XGop-9LOc,Education,A,5500,5.42,0,0.09,HgFe0a5S-vfed,N,2
uEOsSZH4-CIm7,LnxfHwJd-tdvi,fgZCqYMu-fw6D,uEOsSZH4-CIm7,24,40000,Rent,8,LnxfHwJd-tdvi,Medical,C,4500,12.84,0,0.11,fgZCqYMu-fw6D,N,3
lNgK2deW-TQkv,dnGceIxZ-q9IA,am3l9L3W-tfnW,lNgK2deW-TQkv,27,75000,Rent,1,dnGceIxZ-q9IA,Homeimprovement,B,20000,NULL,0,0.27,am3l9L3W-tfnW,N,6
TJvond5k-OZsJ,Sq9jFOjZ-nd4A,LOrdD3hM-coOU,TJvond5k-OZsJ,22,96000,Mortgage,3,Sq9jFOjZ-nd4A,Education,C,11400,13.04,0,0.12,LOrdD3hM-coOU,Y,2
cxm9UAPb-vBdb,o32ssHmw-scQZ,pcoXUa2c-ouuX,cxm9UAPb-vBdb,22,81000,Own,2,o32ssHmw-scQZ,Education,D,10000,15.31,0,0.12,pcoXUa2c-ouuX,N,3
BYmg43Fi-Mvaj,i536G5cd-egh3,M2sgMabi-q39B,BYmg43Fi-Mvaj,21,40000,Rent,3,i536G5cd-egh3,Education,D,7000,14.46,0,0.17,M2sgMabi-q39B,N,3
7ZmahQle-0zzZ,notWJFFO-Lb3r,XMEYtzii-GMsL,7ZmahQle-0zzZ,24,72000,Rent,5,notWJFFO-Lb3r,Homeimprovement,B,8000,10,0,0.11,XMEYtzii-GMsL,N,2
Q8YyEomw-wqUf,P3bkWQYA-ePum,DJ6T4YiD-Uv65,Q8YyEomw-wqUf,31,95000,Mortgage,1,P3bkWQYA-ePum,Debtconsolidation,B,25000,10.08,0,0.26,DJ6T4YiD-Uv65,N,6
LmwskARR-HyA3,0YpSbTgj-CZKT,j3jnnG3T-iF3N,LmwskARR-HyA3,21,41900,Rent,2,0YpSbTgj-CZKT,Venture,C,16000,12.84,1,0.38,j3jnnG3T-iF3N,Y,2
c1fAx8Uh-fk6h,sx6PRAzY-Tznx,EPRoZdfe-jiw5,c1fAx8Uh-fk6h,24,60000,Mortgage,8,sx6PRAzY-Tznx,Venture,A,2800,9.32,0,0.05,EPRoZdfe-jiw5,N,4
xpxcSWRB-FrAX,b9bBNfOj-LJxL,ouTxkFeA-7vLK,xpxcSWRB-FrAX,33,25200,Rent,3,b9bBNfOj-LJxL,Medical,E,1600,16.69,1,0.06,ouTxkFeA-7vLK,N,6
FAtQtTri-eraY,BH8WdzBF-25wh,gze4W38H-fH69,FAtQtTri-eraY,27,16800,Rent,3,BH8WdzBF-25wh,Debtconsolidation,B,6500,11.99,1,0.39,gze4W38H-fH69,N,8
EKLnOGSs-hIWR,oNzURt6u-FEpT,AD4iUJjM-eaSJ,EKLnOGSs-hIWR,28,39000,Rent,6,oNzURt6u-FEpT,Medical,D,10000,14.96,1,0.26,AD4iUJjM-eaSJ,N,6
rab9Ff8j-XYqI,njPidLt8-wjG5,e4sGSB0W-WsLj,rab9Ff8j-XYqI,23,60000,Rent,0,njPidLt8-wjG5,Venture,A,8400,7.49,0,0.14,e4sGSB0W-WsLj,N,3
Q7uCKXLv-KIzS,1OJN1gLu-NODk,Q7q9ycyb-xWEE,Q7uCKXLv-KIzS,35,20000,Rent,0,1OJN1gLu-NODk,Education,D,8500,15.05,1,0.42,Q7q9ycyb-xWEE,Y,10
WwXrx0nj-UG9n,U8fDpRKQ-1ejj,Jj0uWkj8-Esq5,WwXrx0nj-UG9n,33,56312,Rent,2,U8fDpRKQ-1ejj,Homeimprovement,B,3000,11.71,0,0.05,Jj0uWkj8-Esq5,N,9
bo2MWF7f-ttmC,aHCMF0aM-o9qY,j4QchCXc-gsrU,bo2MWF7f-ttmC,24,85000,Mortgage,3,aHCMF0aM-o9qY,Homeimprovement,A,NULL,NULL,0,0.1,j4QchCXc-gsrU,N,2
FAOQLdyv-osYH,apoRUzsT-duz9,e1qDduOE-cNuh,FAOQLdyv-osYH,NULL,NULL,Mortgage,6,apoRUzsT-duz9,Venture,A,10000,13.85,1,0.08,e1qDduOE-cNuh,Y,5
zAGYhdqJ-pD7D,4cXZj28b-TIKj,4pfUPfsE-8Ltp,zAGYhdqJ-pD7D,30,43000,Rent,1,4cXZj28b-TIKj,Medical,A,3200,8,0,0.07,4pfUPfsE-8Ltp,N,5
oFC1XDv6-abaY,6Kdj1wpX-Ov7J,eyITxeQ1-eBt5,oFC1XDv6-abaY,36,46000,Mortgage,3,6Kdj1wpX-Ov7J,Venture,A,8000,5.42,0,0.17,eyITxeQ1-eBt5,N,15
NZH1XocS-SsSQ,aSx7gsB7-55uF,v4fR3SBR-gQAU,NZH1XocS-SsSQ,23,75000,Mortgage,7,aSx7gsB7-55uF,Venture,B,15000,10.38,0,0.2,v4fR3SBR-gQAU,N,3
TJhsLyva-4Aar,8Q8U4DtR-s6Pc,Y7gK4CSI-Gxnq,TJhsLyva-4Aar,24,67000,Own,3,8Q8U4DtR-s6Pc,Venture,C,13000,NULL,0,0.19,Y7gK4CSI-Gxnq,Y,3
DYDPEUcQ-PhL3,wnKi7Ak3-0kBG,KQ3snuO3-IdWs,DYDPEUcQ-PhL3,26,25000,Mortgage,10,wnKi7Ak3-0kBG,Medical,A,7000,6.99,0,0.28,KQ3snuO3-IdWs,N,2
GvDhikwP-hbP2,AR6gBQSg-QGCE,6oY5oako-UAve,GvDhikwP-hbP2,30,148000,Rent,8,AR6gBQSg-QGCE,Venture,D,10000,13.55,0,0.07,6oY5oako-UAve,N,9
nOCHCG3B-oirj,I9iO5CpP-BLfZ,bAAi9tQ0-jCMx,nOCHCG3B-oirj,37,6000,Own,3,I9iO5CpP-BLfZ,Venture,A,1300,6.03,1,0.22,bAAi9tQ0-jCMx,N,11
YkqeZw2c-ZWXg,4oX9UjXc-KXTr,54qHzlW2-9Hcy,YkqeZw2c-ZWXg,26,60000,Mortgage,10,4oX9UjXc-KXTr,Medical,A,12500,6.92,0,0.21,54qHzlW2-9Hcy,N,3
jDvErxLD-zcXr,TD26zpcY-wnpf,oG1c9uM9-Ydlo,jDvErxLD-zcXr,32,35000,Mortgage,2,TD26zpcY-wnpf,Personal,C,6075,13.49,0,0.17,oG1c9uM9-Ydlo,N,9
2oP16JhG-F8XW,63e82hHt-teRu,FQdHlns2-0FWk,2oP16JhG-F8XW,22,66000,Own,6,63e82hHt-teRu,Education,A,5000,7.9,0,0.08,FQdHlns2-0FWk,N,4
iOmP40pa-CNJ4,yud3bu3v-Ltn0,d8HbJlNy-DsTA,iOmP40pa-CNJ4,29,58000,Other,0,yud3bu3v-Ltn0,Homeimprovement,B,14000,11.83,0,0.24,d8HbJlNy-DsTA,N,8
Ng2UrYPJ-wR4Y,r0mQH7vv-PX8N,QDEqf3zL-ArhU,Ng2UrYPJ-wR4Y,23,28000,Rent,5,r0mQH7vv-PX8N,Personal,B,6000,9.63,0,0.21,QDEqf3zL-ArhU,N,4
n5wjd1pM-l0RX,RLqQTAzP-zpFY,7fkEuSxa-4cQD,n5wjd1pM-l0RX,35,53500,Mortgage,1,RLqQTAzP-zpFY,Venture,C,20000,12.53,0,0.37,7fkEuSxa-4cQD,Y,7
lkmbC2Qr-1Nqb,JqJmAI7a-Zo6Q,3egeG21L-fj0U,lkmbC2Qr-1Nqb,31,24000,Rent,3,JqJmAI7a-Zo6Q,Education,A,6000,8.49,0,0.25,3egeG21L-fj0U,N,5
AN0Tv8Sl-Jdw9,K35HQxvr-EgfQ,050HN82m-mgF4,AN0Tv8Sl-Jdw9,24,9600,Rent,3,K35HQxvr-EgfQ,Education,C,1300,12.73,1,0.14,050HN82m-mgF4,N,2
wW7M1ehu-4Pcf,OdCUgCqo-1FdY,AAIm3i82-U7GE,wW7M1ehu-4Pcf,23,29000,Rent,0,OdCUgCqo-1FdY,Education,E,10000,17.93,1,0.34,AAIm3i82-U7GE,Y,3
u3aAcuGQ-WenL,3vzZKm36-aHv6,UpHIupDO-Z3Ra,u3aAcuGQ-WenL,27,36000,Rent,2,3vzZKm36-aHv6,Medical,B,2000,11.99,0,0.06,UpHIupDO-Z3Ra,N,8
Hrk2jzrJ-ggJY,LglB2aTr-FqgR,vCPknwyJ-fKt6,Hrk2jzrJ-ggJY,25,55000,Mortgage,10,LglB2aTr-FqgR,Education,C,15000,NULL,0,0.27,vCPknwyJ-fKt6,Y,3
0xbUO6dd-m6fa,s87imLzQ-ic3J,rQWBHM5n-UsKc,0xbUO6dd-m6fa,38,34296,Own,1,s87imLzQ-ic3J,Medical,C,12000,NULL,0,0.35,rQWBHM5n-UsKc,Y,12
g1GDvUjj-IoJj,2hnMHX0e-caej,SkfqfEzL-lKFD,g1GDvUjj-IoJj,23,45000,Rent,1,2hnMHX0e-caej,Debtconsolidation,C,2000,13.49,0,0.04,SkfqfEzL-lKFD,N,2
GN6ytQnE-DzMK,WbeWEny4-1t34,mMtKwh3x-cEpY,GN6ytQnE-DzMK,24,117996,Mortgage,6,WbeWEny4-1t34,Venture,E,18000,17.04,0,0.15,mMtKwh3x-cEpY,Y,3
pOiseZcH-9Fk0,G0hUayxs-FJjj,3tcoPzMf-v8ma,pOiseZcH-9Fk0,21,45192,Mortgage,0,G0hUayxs-FJjj,Personal,B,11700,10.74,0,0.26,3tcoPzMf-v8ma,N,2
L0lBrO45-rdMJ,7e6YhDyi-lW2T,YauSEsui-pqb2,L0lBrO45-rdMJ,23,91000,Mortgage,0,7e6YhDyi-lW2T,Education,B,1000,11.71,0,0.01,YauSEsui-pqb2,N,3
1ocpbjSJ-z6di,fO7Hnf3c-rglN,j1isnOuI-vt4H,1ocpbjSJ-z6di,31,135000,Mortgage,12,fO7Hnf3c-rglN,Education,C,15000,13.85,0,0.11,j1isnOuI-vt4H,Y,9
YtYvr4Cj-bxpq,0lmyftrm-4bcR,SDXBWm4G-EPIP,YtYvr4Cj-bxpq,30,232050,Mortgage,14,0lmyftrm-4bcR,Medical,E,25000,17.93,1,0.09,SDXBWm4G-EPIP,Y,9
HDKBgTY7-QfNp,KJ9JOg7F-smW0,xLT3GnkU-p19P,HDKBgTY7-QfNp,23,38004,Rent,5,KJ9JOg7F-smW0,Education,A,5000,6.91,0,0.13,xLT3GnkU-p19P,N,4
OUEtPkTc-vXcy,NAKFoNIk-NYBx,EUBokKrE-dXz0,OUEtPkTc-vXcy,23,30000,Rent,3,NAKFoNIk-NYBx,Personal,A,3600,5.99,0,0.12,EUBokKrE-dXz0,N,2
IiyY6qL7-Tkid,729ErEcc-2W7w,fgmEL5HX-cC4e,IiyY6qL7-Tkid,24,44000,Rent,2,729ErEcc-2W7w,Education,C,5000,15.23,1,0.11,fgmEL5HX-cC4e,N,2
BQh2UH1M-eKJD,mlml1vB6-HnK2,hQ9qTMoa-lxwp,BQh2UH1M-eKJD,34,78000,Rent,9,mlml1vB6-HnK2,Debtconsolidation,E,15000,16.4,1,0.19,hQ9qTMoa-lxwp,N,5
BEgWKAQl-b1GG,b9uK0dGB-T4DC,q8swHn45-O8Oj,BEgWKAQl-b1GG,32,NULL,Rent,NULL,b9uK0dGB-T4DC,Medical,A,12000,14.54,0,0.27,q8swHn45-O8Oj,N,2
5AnyFimd-amEm,NGUD7g9a-5aqy,W7X2IPZU-neOY,5AnyFimd-amEm,29,30000,Rent,3,NGUD7g9a-5aqy,Medical,B,5000,11.49,0,0.17,W7X2IPZU-neOY,N,9
fouL80A0-GSbF,ozHrj2lo-1sBq,MbRLoU9m-0E32,fouL80A0-GSbF,28,39000,Rent,6,ozHrj2lo-1sBq,Medical,D,8000,14.91,1,0.21,MbRLoU9m-0E32,Y,7
5UAjPi9w-19sy,zfm7vp4G-GXDj,wdYxBxOo-rstP,5UAjPi9w-19sy,31,39420,Rent,0,zfm7vp4G-GXDj,Medical,C,2500,15.27,0,0.06,wdYxBxOo-rstP,Y,8
Q6Ky6UtP-7hjb,arAp8q1t-Ki9W,PIbtCvUw-qf3K,Q6Ky6UtP-7hjb,30,67000,Mortgage,6,arAp8q1t-Ki9W,Homeimprovement,A,10000,6.99,0,0.15,PIbtCvUw-qf3K,N,6
fuUiDvEh-F16S,EJmOuEUR-J7by,D9QpeJEQ-Irkg,fuUiDvEh-F16S,23,40000,Rent,0,EJmOuEUR-J7by,Venture,A,15000,8.94,1,0.38,D9QpeJEQ-Irkg,N,4
d0YRlkdZ-nuLT,xzTEiD3e-BbFZ,Z5LA433k-5vqf,d0YRlkdZ-nuLT,28,83000,Mortgage,6,xzTEiD3e-BbFZ,Debtconsolidation,B,5000,NULL,0,0.06,Z5LA433k-5vqf,N,9
Yu00cQ2k-H4hd,TrBcx2Ww-zgXl,xDklu0NA-P5pb,Yu00cQ2k-H4hd,21,21700,Rent,2,TrBcx2Ww-zgXl,Homeimprovement,D,5500,14.91,1,0.25,xDklu0NA-P5pb,N,2
ZMj3GDRA-d7ZD,omOXcYql-IW7h,oh3NlbzZ-4KTQ,ZMj3GDRA-d7ZD,34,54000,Mortgage,5,omOXcYql-IW7h,Venture,A,10000,7.29,0,0.19,oh3NlbzZ-4KTQ,N,7
yfSpCdRS-4CPq,27dlUgzG-kNy1,BP5OcZMW-FXEL,yfSpCdRS-4CPq,29,60000,Rent,0,27dlUgzG-kNy1,Homeimprovement,A,4000,7.88,0,0.07,BP5OcZMW-FXEL,N,6
qDeyTYs1-baNz,OGSU5oJz-B4De,HtcIjFIo-tSbK,qDeyTYs1-baNz,25,50000,Rent,0,OGSU5oJz-B4De,Homeimprovement,B,6400,9.91,0,0.13,HtcIjFIo-tSbK,N,4
uRNis7rO-QvQS,tBPcdDSD-M18e,UWJzkh6T-wIqh,uRNis7rO-QvQS,29,60000,Mortgage,7,tBPcdDSD-M18e,Venture,A,5000,7.66,0,0.08,UWJzkh6T-wIqh,N,10
J27trJci-Bod4,gpyEFrZN-NAP7,HdB4w9OB-tTNk,J27trJci-Bod4,25,80000,Mortgage,9,gpyEFrZN-NAP7,Venture,E,4000,19.03,0,0.05,HdB4w9OB-tTNk,Y,3
3nRhlR8i-oOAS,Hxa2IflD-IM3I,7UlWWDkw-NBig,3nRhlR8i-oOAS,52,25000,Rent,23,Hxa2IflD-IM3I,Medical,D,5000,12.61,1,0.2,7UlWWDkw-NBig,Y,22
wIpK7Gev-GmYY,ISoB48er-MIWu,TSHZjj7P-LRvz,wIpK7Gev-GmYY,27,97000,Mortgage,11,ISoB48er-MIWu,Personal,B,3600,9.25,0,0.04,TSHZjj7P-LRvz,N,7
uBfquNMW-R3UG,5faOZ105-AE8y,z5SN3Z5s-cxQa,uBfquNMW-R3UG,21,43000,Rent,NULL,5faOZ105-AE8y,Venture,D,17525,12.72,0,0.12,z5SN3Z5s-cxQa,,7
yYFHGWKS-2el6,m7NH5fyU-ciQa,dwuGjAyP-cd2C,yYFHGWKS-2el6,22,45000,Rent,3,m7NH5fyU-ciQa,Medical,A,5800,7.88,0,0.13,dwuGjAyP-cd2C,N,3
H3iPrkPx-YLN1,SFDhlddW-OrGb,jn0fXPsl-PlvQ,H3iPrkPx-YLN1,22,63800,Mortgage,7,SFDhlddW-OrGb,Debtconsolidation,B,25000,11.36,0,0.39,jn0fXPsl-PlvQ,N,4
PiFbqLrs-M2cE,Td0WOUDW-RKP6,pURbiFSA-Yx12,PiFbqLrs-M2cE,34,65000,Mortgage,6,Td0WOUDW-RKP6,Debtconsolidation,A,12300,NULL,0,0.19,pURbiFSA-Yx12,N,10
